Date,AAPL,AMZN,JPM,MSFT,XOM
2018-01-02,40.23237609863281,59.45050048828125,85.51600646972656,78.55203247070312,57.8111572265625
2018-01-03,40.22536849975586,60.209999084472656,85.60317993164062,78.9175796508789,58.946563720703125
2018-01-04,40.41221618652344,60.47949981689453,86.82949829101562,79.6121826171875,59.02816390991211
2018-01-05,40.87232208251953,61.457000732421875,86.27206420898438,80.59923553466797,58.9805908203125
2018-01-08,40.72050094604492,62.34349822998047,86.39949035644531,80.68148803710938,59.24573516845703
2018-01-09,40.71584701538086,62.6349983215332,86.83746337890625,80.62664794921875,58.99417495727539
2018-01-10,40.70649719238281,62.71649932861328,87.79301452636719,80.26106262207031,58.52504348754883
2018-01-11,40.937721252441406,63.83399963378906,88.26285552978516,80.49869537353516,59.10295486450195
2018-01-12,41.36045837402344,65.26000213623047,89.72007751464844,81.88787841796875,59.504066467285156
2018-01-16,41.15025329589844,65.24299621582031,89.40155029296875,80.74543762207031,59.13013458251953
2018-01-17,41.82991027832031,64.75,89.97490692138672,82.38137817382812,59.83042907714844
2018-01-18,41.86726379394531,64.66600036621094,90.1899185180664,82.34484100341797,59.44289779663086
2018-01-19,41.680416107177734,64.72899627685547,89.99081420898438,82.25343322753906,59.25252914428711
2018-01-22,41.33943557739258,66.3655014038086,91.04194641113281,83.72484588623047,60.00038528442383
2018-01-23,41.34877395629883,68.12699890136719,90.94640350341797,83.98992156982422,60.034393310546875
2018-01-24,40.69015121459961,67.87550354003906,92.1089859008789,83.91677856445312,60.19078063964844
2018-01-25,39.96379089355469,68.89749908447266,92.13290405273438,84.38287353515625,60.08199691772461
2018-01-26,40.05721664428711,70.10250091552734,92.6266098022461,85.9639892578125,60.51032257080078
2018-01-29,39.228092193603516,70.88400268554688,92.53105926513672,85.83604431152344,59.83723068237305
2018-01-30,38.99686050415039,71.89099884033203,91.66307830810547,84.7575912475586,59.00098419189453
2018-01-31,39.10429763793945,72.54450225830078,92.1089859008789,86.83220672607422,59.35451126098633
2018-02-01,39.186038970947266,69.5,93.06459045410156,86.14676666259766,60.55792236328125
2018-02-02,37.48575973510742,71.49749755859375,91.00212860107422,83.88023376464844,57.4712028503418
2018-02-05,36.54920196533203,69.5,86.63838958740234,80.42558288574219,54.200931549072266
2018-02-06,38.076656341552734,72.14199829101562,89.2741470336914,83.4689712524414,53.26948928833008
2018-02-07,37.26154708862305,70.83899688720703,89.87934112548828,81.8969955444336,52.31083297729492
2018-02-08,36.23624038696289,67.5250015258789,85.90576934814453,77.69294738769531,51.71933364868164
2018-02-09,36.679443359375,66.9800033569336,87.62580108642578,80.59007263183594,52.04901885986328
