Date,AAPL,AMZN,JPM,MSFT,XOM
2018-01-03,-0.00017417810123299127,0.012775310383486449,0.0010193818153203527,0.0046535674339440725,0.019639919846111242
2018-01-04,0.004645021133087068,0.004476012896857506,0.014325616879586667,0.008801625308092698,0.0013843078214976767
2018-01-05,0.011385317099969594,0.016162516530176196,-0.006419869894479513,0.01239826475084449,-0.0008059388340828644
2018-01-08,-0.003714521924349845,0.014424678832250848,0.0014770267598125386,0.0010205121909130366,0.004495450867087802
2018-01-09,-0.00011428962208070992,0.0046757095740346255,0.005069162105633573,-0.0006797109129346168,-0.004246047592562863
2018-01-10,-0.00022963596936875774,0.0013012055442500614,0.011003904424194078,-0.004534298974933182,-0.00795216595649173
2018-01-11,0.005680274059588264,0.01781828254348916,0.005351690062731063,0.002960747636544525,0.009874599701511944
2018-01-12,0.01032634715975611,0.022339231610462695,0.016510025379492976,0.01725721190868268,0.00678665903765352
2018-01-16,-0.005082271483166645,-0.0002605871874575838,-0.003550233465053343,-0.013951280921789655,-0.006284140008669947
2018-01-17,0.016516471418406065,-0.00755630863716783,0.006413273892220905,0.02026047043567769,0.011843275845273116
2018-01-18,0.000892985793573553,-0.0012972916415299185,0.002389684013427651,-0.00044351249299401374,-0.006477160309478536
2018-01-19,-0.004462858802695369,0.0009741736041779525,-0.0022076115862345036,-0.001110060748980124,-0.003202546635513115
2018-01-22,-0.008180833149754374,0.025282411609683475,0.011680438846873864,0.01788876890549984,0.01262150579793131
2018-01-23,0.0002258951719058544,0.02654236704761037,-0.0010494383246529848,0.0031660336998882155,0.0005667967957512232
2018-01-24,-0.015928470875468115,-0.0036915667119321594,0.012783159670709088,-0.0008708545502127407,0.0026049622637576153
2018-01-25,-0.017851010609769014,0.015056912893923968,0.00025967229604728637,0.005554252423371375,-0.001807315352414185
2018-01-26,0.0023377599733034327,0.017489776074125496,0.005358625722132082,0.018737400806782434,0.0071290182592085305
2018-01-29,-0.020698503793868617,0.011147987016343786,-0.0010315668177144355,-0.0014883551518920513,-0.011123587841399663
2018-01-30,-0.005894543336747549,0.014206254114237371,-0.009380428192701795,-0.012564104888743821,-0.013975354155633668
2018-01-31,0.0027550200811070624,0.009090198056924459,0.004864636896380725,0.024477046220628518,0.005991884269963776
2018-02-01,0.0020903414188548908,-0.04196737400527717,0.01037471582035443,-0.007893845950948664,0.020274972815519154
2018-02-02,-0.043389923566922395,0.02874097206609716,-0.022161617463352212,-0.026310133110698408,-0.05097135754464155
2018-02-05,-0.02498436143200944,-0.027938006598856924,-0.047952054317335624,-0.04118551801607184,-0.05690278155105788
2018-02-06,0.04179172988973989,0.03801436389950541,0.030422511993139834,0.03784104830204149,-0.0171849862008161
2018-02-07,-0.021407059633021586,-0.018061620618718965,0.006779052076167913,-0.01883305477976449,-0.017996348826366027
2018-02-08,-0.027516482319469016,-0.046782076355553315,-0.04421006793759097,-0.051333362460865284,-0.011307396478852039
2018-02-09,0.012230931456442384,-0.008071057484337008,0.02002230759741641,0.037289423835135116,0.006374506164776195
2018-02-12,0.04027905121173592,0.0348088545167482,0.015448805859391124,0.010773823825614759,0.008445554485677409
