Model,Confidence,Exceptions,Exception Rate,Expected Rate,Kupiec LR,Kupiec p-value,Christoffersen LR,Christoffersen p-value
Historical,0.95,99,0.05142857142857143,0.050000000000000044,0.08197105216323664,0.774643861325197,4.213948071278196,0.040092918391318344
Historical,0.99,30,0.015584415584415584,0.010000000000000009,5.18193245216591,0.02282292696179844,6.536484502243695,0.01056839927515052
Variance-Covariance,0.95,104,0.054025974025974026,0.050000000000000044,0.6408105687872965,0.42341743082722005,4.6271753709773975,0.0314693317622855
Variance-Covariance,0.99,45,0.023376623376623377,0.010000000000000009,25.2731336463875,4.975916103600042e-07,16.338446871423002,5.297813967697351e-05
Monte Carlo,0.95,105,0.05454545454545454,0.050000000000000044,0.8143221287073459,0.36684548953762297,4.393289783213845,0.036080629625221405
Monte Carlo,0.99,46,0.023896103896103898,0.010000000000000009,27.02123564190657,2.0123251365244954e-07,15.753030801226885,7.21722188631313e-05
