Lookback,Confidence,Average_VaR,Median_VaR,Max_VaR
125,0.95,20862.055463687997,17168.42533869387,44852.92517246761
125,0.99,35490.6765163169,28338.26141200163,92507.50552971895
250,0.95,22440.87789142081,20437.242843379634,39834.76217043822
250,0.99,38460.492288689966,37604.487193460365,74826.20785452548
500,0.95,22620.22311298213,23159.0350548526,33776.562801250526
500,0.99,38328.19675356784,41401.8307095491,47597.831720137554
